Date;Time;ArduinoMillis;EDA;IBI;RawPulse;FL;FR;RL;RR
2017-04-17;12:06:52:7398;1446;4;0;469;81;627;519;227;
2017-04-17;12:06:52:7398;1456;4;0;470;80;627;519;227;
2017-04-17;12:06:52:7398;1466;4;0;473;79;627;519;227;
2017-04-17;12:06:52:7398;1476;4;0;478;80;627;519;227;
2017-04-17;12:06:52:7399;1486;4;0;483;80;627;519;227;
2017-04-17;12:06:52:7399;1496;4;0;490;80;627;519;227;
2017-04-17;12:06:52:7399;1506;4;0;496;79;627;519;228;
2017-04-17;12:06:52:7428;1516;4;0;499;79;627;519;228;
2017-04-17;12:06:52:7428;1526;4;0;503;77;627;519;228;
2017-04-17;12:06:52:7428;1536;4;0;506;77;627;519;228;
2017-04-17;12:06:52:7428;1546;4;0;508;78;627;519;228;
2017-04-17;12:06:52:7429;1556;4;0;509;78;627;519;230;
2017-04-17;12:06:52:7429;1566;4;0;510;78;627;519;230;
2017-04-17;12:06:52:7429;1576;3;0;510;78;627;519;230;
2017-04-17;12:06:52:7429;1586;4;0;509;79;627;519;230;
2017-04-17;12:06:52:7429;1596;4;0;511;78;627;519;230;
2017-04-17;12:06:52:7430;1606;4;0;513;79;627;520;230;
2017-04-17;12:06:52:7430;1616;4;0;515;78;627;520;230;
2017-04-17;12:06:52:7430;1626;4;0;514;77;627;520;230;
2017-04-17;12:06:52:7763;1636;4;0;513;77;627;520;230;
2017-04-17;12:06:52:7763;1646;4;0;510;77;627;520;229;
2017-04-17;12:06:52:7764;1656;4;0;507;78;627;520;229;
2017-04-17;12:06:52:7764;1666;4;0;505;79;627;520;229;
2017-04-17;12:06:52:7764;1676;4;0;504;81;627;520;229;
2017-04-17;12:06:52:7765;1686;4;0;504;80;627;520;228;
2017-04-17;12:06:52:7765;1696;4;0;504;81;627;520;227;
2017-04-17;12:06:52:7765;1707;4;0;504;79;627;520;227;
2017-04-17;12:06:52:7766;1717;4;0;505;79;627;520;227;
2017-04-17;12:06:52:7766;1727;4;0;504;80;628;520;227;
2017-04-17;12:06:52:7766;1737;4;0;506;81;628;520;227;
2017-04-17;12:06:52:7767;1747;4;0;508;80;628;520;227;
2017-04-17;12:06:52:7767;1757;4;0;508;81;627;520;227;
2017-04-17;12:06:52:7767;1767;4;0;507;80;627;520;227;
2017-04-17;12:06:52:7767;1777;4;0;508;78;628;520;227;
2017-04-17;12:06:52:7767;1787;4;0;508;79;628;519;226;
2017-04-17;12:06:52:7767;1797;4;0;508;79;627;520;226;
2017-04-17;12:06:52:7768;1807;4;0;510;79;627;520;227;
2017-04-17;12:06:52:7768;1817;4;0;515;79;627;520;227;
2017-04-17;12:06:52:7768;1827;4;0;518;81;628;520;227;
2017-04-17;12:06:52:7768;1837;4;0;518;81;628;520;227;
2017-04-17;12:06:52:7768;1847;4;0;520;80;628;520;227;
2017-04-17;12:06:52:7768;1857;4;0;523;80;628;520;226;
2017-04-17;12:06:52:7768;1867;4;0;521;79;628;520;226;
2017-04-17;12:06:52:7769;1878;4;0;521;79;628;520;226;
2017-04-17;12:06:52:7769;1888;4;0;520;78;628;520;226;
2017-04-17;12:06:52:7769;1898;4;0;519;78;628;520;226;
2017-04-17;12:06:52:7770;1908;4;0;518;79;628;520;226;
2017-04-17;12:06:52:7770;1918;4;0;516;78;628;520;226;
2017-04-17;12:06:52:7770;1928;5;0;515;78;628;520;226;
2017-04-17;12:06:52:7770;1938;4;0;514;78;628;520;226;
2017-04-17;12:06:52:7770;1948;4;0;513;77;629;520;227;
2017-04-17;12:06:52:7770;1958;4;0;512;78;628;520;227;
2017-04-17;12:06:52:8074;1968;4;0;510;77;628;520;227;
2017-04-17;12:06:52:8074;1978;4;0;508;78;629;520;227;
2017-04-17;12:06:52:8074;1988;4;0;506;78;629;520;227;
2017-04-17;12:06:52:8075;1998;4;0;506;77;629;520;227;
2017-04-17;12:06:52:8075;2008;4;0;507;76;629;520;226;
2017-04-17;12:06:52:8075;2018;4;0;508;76;629;520;227;
2017-04-17;12:06:52:8075;2028;4;0;509;77;629;520;226;
